json_path,sentence_idx,sentence_text,sentence_hash
"['segments', 0, 'content', 'intro']",0,"Congratulations, you have concluded",cb62ae613aa68c19a41150d28fce1fd109ac37fb1322c2a1cc8e318fc88aad1c
"['segments', 0, 'content', 'title']",0,Module 1,7bd758065d58bbaadaf5a04a2fed845a89e794ed30a1715bd97b3c0543679224
"['segments', 0, 'content', 'body']",0,Thank you for joining us for the third chapter of the Just Energy Transition Module.,f2ffea3e649f5b961ad4d883ff0d27eab75ad677c12fe760b6e757782b4e5857
"['segments', 0, 'content', 'body']",1,"We invite you to interact with the closing scenario, and to reflect on how you can take action to move these ideas from ambitions into action.",c15c14dcebda95ea7d1963d29e0431fa9f6531742e0326b214fee5a2a910d9cc
"['segments', 0, 'content', 'nextBlock', 'intro']",0,Graded Quiz,decd08b7e8cc8be628bd37326ef9d8f0a253489ad86516dd0d2f3e02e5d0717a
"['segments', 0, 'content', 'nextBlock', 'title']",0,Title of the quiz,c2b03b7a6558051165bafcd936bfcb46c31ed3a5c248a872e9ddf827a52b96a5
"['segments', 0, 'content', 'nextBlock', 'cta']",0,Test your knowledge,2a2499f1f86d544069a503d2ed68265cb4fabd0394c278786ebff8f6f7d806c2
"['segments', 1, 'content', 'intro']",0,Next up,c5ae65235e0aa6ba5ccb0c1985dff33587cba83fec6429f303918aef2e0de793
"['segments', 1, 'content', 'title']",0,Module 2 Introduction,6ed4d51ab7a68a5e7fe0a657ec23c7b2a7902f10a1873a33acdcc9b9ce9759f2
"['segments', 1, 'content', 'cta']",0,Start learning,ac1796280ca0f3c1cde0883e9bf82901393b7816878e56a97af1969f982e5e64
