json_path,sentence_idx,sentence_text,sentence_hash
"['segments', 0, 'content', 'intro']",0,"Congratulations, you have concluded",cb62ae613aa68c19a41150d28fce1fd109ac37fb1322c2a1cc8e318fc88aad1c
"['segments', 0, 'content', 'title']",0,Module 6,0231571de7ace2a356993e5aebf39c880fccdd7c99f54ac295f9dd0622f0601f
"['segments', 0, 'content', 'body']",0,Thank you for joining us for the third chapter of the Just Energy Transition Module.,f2ffea3e649f5b961ad4d883ff0d27eab75ad677c12fe760b6e757782b4e5857
"['segments', 0, 'content', 'body']",1,"We invite you to interact with the closing scenario, and to reflect on how you can take action to move these ideas from ambitions into action.",c15c14dcebda95ea7d1963d29e0431fa9f6531742e0326b214fee5a2a910d9cc
"['segments', 0, 'content', 'nextBlock', 'intro']",0,Module 7,1eacc8824f78a7e1eb3340e1329fde7cf2045e6c4f83202eaaca5a0771d7343d
"['segments', 0, 'content', 'nextBlock', 'title']",0,Data in Sustainable Energy,6cddcd59c8cb95501fd541fd9806e8e40fa7989d6eba70449468befb7f2dbf7a
