json_path,sentence_idx,sentence_text,sentence_hash
"['segments', 0, 'content', 'intro']",0,"Congratulations, you have concluded",cb62ae613aa68c19a41150d28fce1fd109ac37fb1322c2a1cc8e318fc88aad1c
"['segments', 0, 'content', 'title']",0,Module 5,27cae5af105790b28f4d793dc3824f4d8465bb43a493cc226152e89312b9cd75
"['segments', 0, 'content', 'subtitle']",0,Energy Governance for a Just Energy Transition,0537c9782d1bd70b72e30d97b5449fb77a47ad013546796ee9ddf6d14058355d
"['segments', 0, 'content', 'body']",0,Thank you for joining us.,52478e93cb8d86813bd4a803f9d33012e3efbad28d4d6046cc4e4c16e3b51b49
"['segments', 0, 'content', 'body']",1,"We invite you to interact with the closing scenario, and to reflect on how you can take action to move these ideas from ambitions into action.",c15c14dcebda95ea7d1963d29e0431fa9f6531742e0326b214fee5a2a910d9cc
"['segments', 0, 'content', 'nextBlock', 'intro']",0,Module 6,0231571de7ace2a356993e5aebf39c880fccdd7c99f54ac295f9dd0622f0601f
"['segments', 0, 'content', 'nextBlock', 'title']",0,The Climate Change-Energy Nexus,c78f4f705afb8499ab74a97dafc18581aea8aa7c0afe06c2d384ca3849c2e76b
