json_path,sentence_idx,sentence_text,sentence_hash
"['segments', 0, 'content', 'intro']",0,"Congratulations, you have concluded",cb62ae613aa68c19a41150d28fce1fd109ac37fb1322c2a1cc8e318fc88aad1c
"['segments', 0, 'content', 'title']",0,Module 7,1eacc8824f78a7e1eb3340e1329fde7cf2045e6c4f83202eaaca5a0771d7343d
"['segments', 0, 'content', 'body']",0,Thank you for joining us for the third chapter of the Just Energy Transition Module.,f2ffea3e649f5b961ad4d883ff0d27eab75ad677c12fe760b6e757782b4e5857
"['segments', 0, 'content', 'body']",1,"We invite you to interact with the closing scenario, and to reflect on how you can take action to move these ideas from ambitions into action.",c15c14dcebda95ea7d1963d29e0431fa9f6531742e0326b214fee5a2a910d9cc
"['segments', 0, 'content', 'nextBlock', 'intro']",0,Module 8,8f06533941333b610efed69ff66ddd036296d6d45807dcc3481f31e30ebeaa5d
"['segments', 0, 'content', 'nextBlock', 'title']",0,Innovation in Sustainable Energy,dbf170f305eca2f6a02d1c0aeed1d7507e360bbb05c2b30533e9082ff87aaad5
"['segments', 0, 'content', 'nextBlock', 'cta']",0,"Module 8 explores future energy trends and projections, emphasizing the creation of enabling environments for innovation.",a7cf03fb652055a083b18c975174ac3b7a62622ae0f122fd5cb4a0fbe108247d
